job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
0,toy_lin3_sgd_N128_s0,lin3,sgd,128,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
1,toy_lin3_sgd_N128_s1,lin3,sgd,128,1,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
2,toy_lin3_sgd_N128_s2,lin3,sgd,128,2,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
3,toy_lin3_sgd_N256_s0,lin3,sgd,256,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
4,toy_lin3_sgd_N256_s1,lin3,sgd,256,1,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
5,toy_lin3_sgd_N256_s2,lin3,sgd,256,2,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
6,toy_lin3_sgd_N512_s0,lin3,sgd,512,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
7,toy_lin3_sgd_N512_s1,lin3,sgd,512,1,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
8,toy_lin3_sgd_N512_s2,lin3,sgd,512,2,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
9,toy_lin3_sgd_N1024_s0,lin3,sgd,1024,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
10,toy_lin3_sgd_N1024_s1,lin3,sgd,1024,1,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
11,toy_lin3_sgd_N1024_s2,lin3,sgd,1024,2,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
12,toy_lin3_muon_N128_s0,lin3,muon,128,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
13,toy_lin3_muon_N128_s1,lin3,muon,128,1,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
14,toy_lin3_muon_N128_s2,lin3,muon,128,2,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
15,toy_lin3_muon_N256_s0,lin3,muon,256,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
16,toy_lin3_muon_N256_s1,lin3,muon,256,1,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
17,toy_lin3_muon_N256_s2,lin3,muon,256,2,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
18,toy_lin3_muon_N512_s0,lin3,muon,512,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
19,toy_lin3_muon_N512_s1,lin3,muon,512,1,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
20,toy_lin3_muon_N512_s2,lin3,muon,512,2,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
21,toy_lin3_muon_N1024_s0,lin3,muon,1024,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
22,toy_lin3_muon_N1024_s1,lin3,muon,1024,1,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
23,toy_lin3_muon_N1024_s2,lin3,muon,1024,2,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
24,toy_nonlin2_sgd_N128_s0,nonlin2,sgd,128,0,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
25,toy_nonlin2_sgd_N128_s1,nonlin2,sgd,128,1,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
26,toy_nonlin2_sgd_N128_s2,nonlin2,sgd,128,2,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
27,toy_nonlin2_sgd_N256_s0,nonlin2,sgd,256,0,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
28,toy_nonlin2_sgd_N256_s1,nonlin2,sgd,256,1,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
29,toy_nonlin2_sgd_N256_s2,nonlin2,sgd,256,2,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
30,toy_nonlin2_sgd_N512_s0,nonlin2,sgd,512,0,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
31,toy_nonlin2_sgd_N512_s1,nonlin2,sgd,512,1,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
32,toy_nonlin2_sgd_N512_s2,nonlin2,sgd,512,2,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
33,toy_nonlin2_sgd_N1024_s0,nonlin2,sgd,1024,0,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
34,toy_nonlin2_sgd_N1024_s1,nonlin2,sgd,1024,1,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
35,toy_nonlin2_sgd_N1024_s2,nonlin2,sgd,1024,2,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
36,toy_nonlin2_muon_N128_s0,nonlin2,muon,128,0,3.0,0.0068,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
